"0000 - US president","0001 - US senate","0002 - governor","0003 - County Clerk","0005 - mayor","0006 - Question 1 - school budget override","0007 - Question 2 - new firehouse land purchase"
7413c91691073a9d9f265d417f496d95ff22d7b6,f0fcbdcaf69b1d07e0544e58415b5627e4cdb462,5b73c2034ce90ba2de4a4c62b246e459043409fd,7ee413d16bcaca84f18e3f93fda57ec6cd597957,3969b07e49ef870163e559e598c3109d48c485a4,8369e6a4516beb8613343f2c3cd36ea82a2853f3,13b400e8aa2a04138bfa598d3113ef27207431dd
bfe6bea6d6999159b3e668f9a28c16ebbfb9d080,0a9682dccf6ab5cb83d8a5ce43786e74514ce3ef,47e6875d4fa554a492a5cf32fd2f8282a790cd95,c0f46f6630d23f541f17f2df1ddf59511e0f6aff,e510ee5d3f1bc35db927662768217f41dc96c8b7,05ea96d729ad1dbd16a6c4117779969c2a99bf88,a59077452d4544652fde1c7daca456f90a17101b
3967f5cb01db0da0692285bfb2a84dbea55ed6e8,96f783b648eb40f45489e3d68cfbebc8ab536bc4,08655dbe5ce066baab0a2b2590b549a2a778e1f0,3657c1a25d3720ddfbbe8bbf11169dfb2aaad3cb,c073130489807dee0f7ff23317c631a7e7d88856,f1d47260db82d4cd4b2b32563428a7a159a184e6,4a3ae1e0a72c5b1f9a5fcb760703417b2400d033
802537bd8ed5f69b34b56042f3fa2afe0df0cf1e,56513b46d17a64e4cde3753385862437e488f5a6,2e8d1ecc55f35a951d43feb64b56d7c89c82580e,f3ec0a3d7799cbef4cb506503d48a0c48bd72b6f,0a7042e7336cafd7493de7a29e98faa949e61f01,18fbd5c204eb14d491a145dde7734797829c9f38,216e76ab0c00f78210997c7121b5704980d1f576
0b187ef14874c1a6f0f59e3be378383811e409f0,b8037c9c38c36db4839c60649d6beed679395e84,e5517c7974f0dec0d1dfa82b15a39b5e48a86331,cb9b50f649ed02679a3ce9fa19ce8d3d2ba550b5,844bfcd03ddc55d4ac587359232a37a12c71527f,6dbdb85a8c821eb06c5dee6bf3fddc51a6756cea,b76c5e174ce9cf250b8348a91e7aaef39eabc42a
41b8fd8672aa268fd44587d9b7ed39ebbebb7b0d,91d149e92511328db4e3b3f4d379eb58b0822262,5079d3fbed71198182fdbc2da96881e591640e4d,ce7bd16f7fef16c7306f7f29253a03c66ea0e12e,403d0ae0de4653c68668c6165b858a456356ab90,4ea6d67d65ed3e910fd29d7a8c948c3995902db3,47a57487ea1cb4e47cc83fbae686282f84760462
b9d3cdfa51cbe1e222aae9307d1af297f5a64ec6,a47e7ad87e39e988e75ddf45d1cbb40367b3e38b,95feb5d786968c8987be28890f84aef5ffa515f4,c967b250a3079512c05572c559f392094c8bf33e,46393d9d46791557ecc5ba00cf5f39ace76f0b32,589b8c6c942072713d891b508a189b0ba950d4f4,414886bf24cf92d298d99e754154b42e6b194ab5
aef1d64c2057d0d56264709ceaba50071fabdb7e,3f0306fed813cb00c52eb96c443910138149076f,974cc33345b83bdac3c7340fc95cbbfdda3ec128,986afaf32013cb5d080a845063a42dad5fd101c7,f44ec0cfb1de00a8d4ab48d56a9679c8d1112b86,0c8e5b9f0fe2a41aebe63efe7e1c1ba7d2634ca8,fd918521a755cac0773b8ad880094595d494c6fc
8843628790d0200de4b642cba7d788c28a0f5fa9,e17d5b8fef206d4f96aaa35086cd6929a7f3ef33,37772bc0e4f1079268f9bb63e2f467c92395d196,dacbf0255b3d325a3638a81c82d3080987b9305a,ca29db221c8c894d48b59e3b4f08e8af57f0afc1,511be8fdd3a8d6dc3170bdf93b2b0ae2b9e8d142,83f6c09dca83303db7d591aa882841cf6b2cf2f7
87e910135386b2a2ec7f935dd5ee110b04f4b50c,e7e601960a3b2bcdac97de4b407531dbb130cd00,f74a76f77ff4dbf8359130f5c54ad7646b3c79e0,70289276c9ce5785314e257f1cf5631cb09550ee,ce4c5ccdbc4228123e2f829c5b3b203785bd870e,73e245a78446ff4b3ef6f9365eab542bf23c9e6d,25e74d7b72cf7b28d12ba2de5790f1ea8656369e
60788a49ad24401ae21228c73ccd0e32c69e7512,92345ae3118478f042ed2a5539e0027cc8e115f4,762a2f68873bc497b5c85a7126640766bd2c9b04,5fd534c959006fb54e7d6e5004cd82fee8b84528,0e260b38b91f010459bf3083e86963beb70f2380,6573ec1cae9b7f0187886ae9d6fe495264ded6fc,6bd058dbab63cd4995206453a7aeeadb73e97cf7
c76db13698b082af13ddf6702a8636af0a0f7927,853e1c4ee203a028269a7bf210f9eeb937611d1d,31f4d8e5ff86dec0a4a87d5346d76a483239b18b,0295e4841703d9cd3b7b6aeefc7addc6c8158c2f,1ccd77bc498909177253f37e7555a616c1449b7d,27b7054b79ec0b6b18c4aa8ab4cfd117ee0c3fb8,557cf8725eb97f109bae00940a93c232f31fb67f
f05c7ce283e3054816df56fe9703bb6f1cfd33f2,aa323ce713f5af38051c927ff3da9d4573b45467,339b3fd1d2fd6861e237b9e6ed671a69c9596fb1,1acbe82cf5dc3aa89ebefa0bfd964240a74ae91e,15bff6ecd9c9ab7d0c28eb9af5badefef24e348c,2f4042450dce890661308f0c27a1c6dc3dfb14e4,ece417e1d16c3b4b90c514ca00b6fe49ed3818b6
e71b42598856308c6991dde15c5d5df02dcbed02,92f37d49102f9103dbd5cf926dcf966214b3e34d,6b4905aa0a0883200162961863e4a26e3dbf2137,7fde81c24117ed6818f515e52abc74f08d2c233b,8493dac3fc4dae690816cc47915414dd5f79b605,e01f12c925dfa378a46c8294b987b3bdf47f039e,5be9734e98f5f92ebbf4195a87344ec15af2b0b9
7bedfdb93a893e52ebc7f9b619cd2b67988960c4,95e5c949ead065d19cdca799a6301410456a787c,6b30bf33746c56dbf1f4058f6233fc6164e95ea3,61a2e0a50abbbff60a8c33692fdf4c582be11874,80870c514f7fbce87ff2680c308363b50dc1cf36,b55f6ce56c9d766e22b859fb545b6912eca585e1,3940ffa457bea906069c3b1c29730a5133941e0f
0f7e1ffba81e1942390856b3d20d87e717224dd5,ce7a875b5844a2a2d200c3ba69bc24f95df9757a,a24cedf98e2ee1ecfb7a699a454b51663cb29bd6,f77658ba63e4a1c8f803763d824c17579814514e,db6aa251342287d78452e6116583b52742e530d5,85454d42cfa31a2f62620e824fb37d21733dfba2,571e56ebf17f47cb9b56a60b901db6781ad5dbc1
e02c5ff854e056f3bb3104bba4475079353b47a5,e8a8e3cee5ca5530129ce2d3f386faf70e233d26,b9292e285c5614c901c66d537235aa1eade11c1c,ca8a69a08616343200f3ca7374aea6568a4f554a,dc67e21198af9bac6f47431c7a614eee7398907c,2dc668d96ed44f62c351961cb10bd6ce1df1490b,fa7a43aac524b79b98729b4c4622da4f6f114a42
123df3f1f7e51437ed7747cf029362b4bd35df5c,aabc16ffba4a8619ff3dad8a25f2724d428fe032,479d66f4bfeaeaa2f4380458c685921246cd821b,4d66100b4b033258dc33d0e858deb317b27c5ffb,97d3b112f608d7cb54504fa09d85c0332dbaf987,df333a081f6b61dadaa2c1757fabdd4d70c351a8,4751c5b34669abe1c5780b944e4e7687de340e82
5ea9fd319fedb161d44cd1114adc25038d000491,5ad407de3c3cfc492bf47cdd5e5ccca4a422d6fb,61eec75eab2eab3dd9352901406cb1ed9048cb82,7dacc36b9cee5aae8265ab45ec07933f0d913b69,70d099174d3bf93f3e6a459f55ed415c9ed22db3,d356eea8c6024d7e44602949138f7afed3923506,4a893b9152d7694819856b32b70c6881f55e539d
6940cbca245cf88d5b56a14b20eb13f2c9b40b91,07c97216ba4a28373564eb7f7275a02ffd5ddcd4,dd0708d4254beca043803b8ddfb8b4ab79ad4de6,009f922d25c7f4c45da41526caab8e9a6190f994,3494e3ccbb631ece748fbd678146a9d8f6df665f,d4c4c1c2a160e605c7db54e42b378f8a7f32ad4b,94c6f72fcdb419af5931b74255b642b5516125d1
c6cd7e904d58e2a63c5751da0c3b4f047abba3b1,b63a497b6538b00505ff9d20dec3483b5e047f4a,b483cfea458b77bdb8a7ac61aa92f89db8a3d24b,f7c3eaf8741bb6aaa4e725ed3cfce7a6d8b34932,5e34f66709fffa6d6dfb6e03f34121f2aab524e4,52ad81bc66e698a7f32447dd1f711779fdc78dfe,0f3514c7916316e3d25a6ce195dde146f1a0351f
1b97c15a6544f401bb1e792e7912d7c46ca1f353,d7c459dd4cb2b0091e0986d61929237b90125143,5f3708b59f7a2eb008d63b7c3d2cf02d5ec74978,a0be18d673526fbdf14dae96bf5df877461fca95,01cf6a0a4c900a5b0ddb6aa0dc08d4b6f689ec22,ba5f3293539793a29cd7213e055d55b5bfbfb000,b63d41862b1a01ca46d89980681e2c1c2b9459cd
4097740b0636bd13010d728aab1d0422fdafbb93,dfe69bd178cbdcb2e2aa7c21075915a923a92bdb,9e786b7daeb52baae0ce8de4cedf43bcdd109f8c,aaad2cce33d031043f3518e506cd0c81e3119b90,453c890cf425cba76ed36952cbebc9f718618a42,bbc89704aa04c6879dab64b0ea171839939c5a6d,d0860ab12fe6a132fcd0483092fcaad943e2358c
